Nombre,ID,Ano_nacim,Edad_contienda,Genero,Comuna,Region,Coalición,Partido,Activo,Presidencia,Vicepresidencia,Ministerio,Gobernatura,Ejercito,Suprema Corte,Legislatura,Alcaldia,Partidos_Politicos,Empresas,Sociedad_Civil,Mov_Insurgentes,Religion,kb,Intra,Para,Sub,Exa,Ana
Jeannette Alejandra Jara Roman,JAJaraR,1974,51,F,Conchali,Santiago,Coalicion Unidad por Chile,"PCCh, AH, SD, PPD, PS, PL, FAP, FRVS",Si,0,0,440,,0,0,0,54,40,0,60,0,,594,440,0,94,60,0
Ximena Cecilia Rincon Gonzalez,XCRinconG,1967,58,F,Concepcion,Bio Bio,Coalición Chile Vamos,Demócratas,Si,0,0,319,100,0,0,182,0,145,76,57,0,,879,319,282,145,133,0
Evelyn Rose Matthei Fornet,EMattheiF,1953,72,F,Santiago,Santiago,Coalición Chile Vamos,"UDI, RN, Evopoli, Amarillos por Chile",Si,0,0,110,0,0,0,224,0,135,0,0,0,0,469,110,224,135,0,0
José Antonio Kast Rist,JAKastR,1966,59,M,Santiago,Santiago,Derecha Unida,"PR, PSC",Si,0,0,0,0,0,0,112,48,95,0,0,0,0,255,0,112,143,0,0
Johannes Maximilian Kaiser Barents von Hohenhagen,JKaiserB,1976,49,M,Santiago,Santiago,Derecha Unida,Partido Nacional Libertario,Si,0,0,0,0,0,0,56,0,100,0,0,0,,156,0,56,100,0,0
Franco Aldo Parisi Fernández,FParisiF,1967,58,M,Santiago,Santiago,Partido de la Gente,Partido de la Gente,Si,0,0,77,0,0,0,0,0,95,0,81,0,0,253,77,0,95,81,0
Eduardo Antonio Artés Brichetti ,EArtesB,1951,74,M,San Vicente Tagua Tagua,Bernardo O'Higgins,Partido Comunista Chileno Accion Proletaria,PCCAP,Si,0,0,0,0,0,0,0,0,255,0,18,0,0,273,0,0,255,18,0
Marco Enriques Ominami,MEOminami,1973,52,M,Santiago,Santiago,Independiente,Independiente,Si,0,0,0,0,0,0,56,0,185,80,0,0,0,321,0,56,185,80,0
Harold Alfred Mayne-Nicholls Sacul,HAMayneN,1961,64,M,Antofagasta,Antofagasta,Independiente,Independiente,Si,0,0,0,0,0,0,0,0,0,540,30,0,,570,0,0,0,570,0
Carolina Montserrat Toha Morales,CMTohaM,1965,60,F,Santiago,Santiago,Coalicion Unidad por Chile,"PPD, PL, PDC y PS",No,0,120,407,0,0,0,112,60,195,0,117,0,0,1011,527,112,255,117,0
Gonzalo Rodolfo Winter Etcheberry,GRWinterE,1987,38,M,Santiago,Santiago,Coalicion Unidad por Chile,Frente Amplio,No,0,0,0,0,0,0,112,0,50,0,81,0,0,243,0,112,50,81,0
Jaime Francisco Mulet Martínez ,JFMuletM,1963,62,M,Vallenar,Atacama,Coalicion Unidad por Chile,"Federación Regionalista Verde Social, Partido Regionalista",No,0,0,77,0,0,0,343,0,190,0,0,0,0,610,77,343,190,0,0
